,"All U.S.-Mexican land gateways  2002  All personal vehicle passengers  199,020,692  All personal vehicles  89,849,415  All pedestrians  50,278,281  All bus passengers  3,926,154  All buses  309,360  All train passengers  15,108",All U.S.-Mexican land gateways,2002,All personal vehicle passengers,"199,020,692",All personal vehicles,"89,849,415",All pedestrians,"50,278,281",All bus passengers,"3,926,154",All buses,"309,360",All train passengers,"15,108","All U.S.-Mexican land gateways  2003  All personal vehicle passengers  193,697,482  All personal vehicles  88,068,391  All pedestrians  48,663,773  All bus passengers  3,746,885  All buses  319,087  All train passengers  12,101",All U.S.-Mexican land gateways.1,2003,All personal vehicle passengers.1,"193,697,482",All personal vehicles.1,"88,068,391",All pedestrians.1,"48,663,773",All bus passengers.1,"3,746,885",All buses.1,"319,087",All train passengers.1,"12,101","All U.S.-Mexican land gateways  2004  All personal vehicle passengers  190,936,607  All personal vehicles  91,133,889  All pedestrians  48,084,235  All bus passengers  3,388,517  All buses  269,027  All train passengers  12,664",All U.S.-Mexican land gateways.2,2004,All personal vehicle passengers.2,"190,936,607",All personal vehicles.2,"91,133,889",All pedestrians.2,"48,084,235",All bus passengers.2,"3,388,517",All buses.2,"269,027",All train passengers.2,"12,664","All U.S.-Mexican land gateways  2005  All personal vehicle passengers  186,067,448  All personal vehicles  91,556,319  All pedestrians  45,829,612  All bus passengers  3,169,779  All buses  256,396  All train passengers  17,833",All U.S.-Mexican land gateways.3,2005,All personal vehicle passengers.3,"186,067,448",All personal vehicles.3,"91,556,319",All pedestrians.3,"45,829,612",All bus passengers.3,"3,169,779",All buses.3,"256,396",All train passengers.3,"17,833","All U.S.-Mexican land gateways  2006  All personal vehicle passengers  179,255,014  All personal vehicles  88,295,570  All pedestrians  46,251,414  All bus passengers  3,187,282  All buses  262,862  All train passengers  21,504",All U.S.-Mexican land gateways.4,2006,All personal vehicle passengers.4,"179,255,014",All personal vehicles.4,"88,295,570",All pedestrians.4,"46,251,414",All bus passengers.4,"3,187,282",All buses.4,"262,862",All train passengers.4,"21,504","All U.S.-Mexican land gateways  2007  All personal vehicle passengers  164,534,262  All personal vehicles  81,788,235  All pedestrians  49,538,963  All bus passengers  3,389,055  All buses  265,162  All train passengers  20,482",All U.S.-Mexican land gateways.5,2007,All personal vehicle passengers.5,"164,534,262",All personal vehicles.5,"81,788,235",All pedestrians.5,"49,538,963",All bus passengers.5,"3,389,055",All buses.5,"265,162",All train passengers.5,"20,482","All U.S.-Mexican land gateways  2008  All personal vehicle passengers  157,981,839  All personal vehicles  78,856,542  All pedestrians  44,841,640  All bus passengers  3,455,630  All buses  266,414  All train passengers  22,016",All U.S.-Mexican land gateways.6,2008,All personal vehicle passengers.6,"157,981,839",All personal vehicles.6,"78,856,542",All pedestrians.6,"44,841,640",All bus passengers.6,"3,455,630",All buses.6,"266,414",All train passengers.6,"22,016"
406,"Laredo, TX",5452111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Personal vehicles ─ top 5 gateways,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,"San Ysidro, CA",13348364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"El Paso, TX",9967959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,"Hidalgo, TX",5604124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"Laredo, TX",4863814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,"Brownsville, TX",4640465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Personal vehicles ─ top 5 gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,"San Ysidro, CA",12373011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"El Paso, TX",9148377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,"Hidalgo, TX",4878003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,"Laredo, TX",4746355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"Otay Mesa, CA",4213804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Personal vehicles ─ top 5 gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,"San Ysidro, CA",11481951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,"El Paso, TX",9461721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,"Otay Mesa, CA",5346210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,"Hidalgo, TX",4894486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,"Laredo, TX",4440407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Personal vehicles ─ top 5 gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"San Ysidro, CA",11346966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,"El Paso, TX",10877163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,"Otay Mesa, CA",6235300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,"Laredo, TX",5023185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,"Hidalgo, TX",4768256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Personal vehicles ─ top 5 gateways,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"San Ysidro, CA",11946060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,"El Paso, TX",11595319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,"Otay Mesa, CA",6910219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,"Laredo, TX",5250601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,"Hidalgo, TX",4565037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Personal vehicles ─ top 5 gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,"San Ysidro, CA",14435252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,"El Paso, TX",12258192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,"Otay Mesa, CA",6933472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Laredo, TX",5224056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,"Hidalgo, TX",4594298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,"Pedestrians ─ top 5 gateways  2009  El Paso, TX  7,637,649  San Ysidro, CA  6,188,126  Laredo, TX  4,090,191  Nogales, AZ  4,038,356  Calexico, CA  3,904,913",Pedestrians ─ top 5 gateways,2009.0,"El Paso, TX",7637649.0,"San Ysidro, CA",6188126.0,"Laredo, TX",4090191.0,"Nogales, AZ",4038356.0,"Calexico, CA",3904913,"Pedestrians ─ top 5 gateways  2010  El Paso, TX  6,930,357  San Ysidro, CA  6,439,952  Calexico, CA  4,586,846  Nogales, AZ  3,971,040  Laredo, TX  3,587,763",Pedestrians ─ top 5 gateways,2010,"El Paso, TX",6930357.0,"San Ysidro, CA",6439952.0,"Calexico, CA",4586846.0,"Nogales, AZ",3971040,"Laredo, TX",3587763,"Pedestrians ─ top 5 gateways  2011  San Ysidro, CA  8,454,391  El Paso, TX  6,172,346  Calexico, CA  4,451,119  Nogales, AZ  3,525,540  Laredo, TX  3,089,561",Pedestrians ─ top 5 gateways,2011,"San Ysidro, CA",8454391,"El Paso, TX",6172346.0,"Calexico, CA",4451119.0,"Nogales, AZ",3525540,"Laredo, TX",3089561,"Pedestrians ─ top 5 gateways  2012  San Ysidro, CA  8,134,479  El Paso, TX  6,090,841  Calexico, CA  4,885,868  Nogales, AZ  3,238,929  Laredo, TX  3,206,372",Pedestrians ─ top 5 gateways,2012,"San Ysidro, CA",8134479,"El Paso, TX",6090841,"Calexico, CA",4885868.0,"Nogales, AZ",3238929,"Laredo, TX",3206372,"Pedestrians ─ top 5 gateways  2013  San Ysidro, CA  7,741,210  El Paso, TX  6,015,421  Calexico, CA  4,398,916  Laredo, TX  3,558,660  Otay Mesa, CA  3,289,778",Pedestrians ─ top 5 gateways,2013,"San Ysidro, CA",7741210,"El Paso, TX",6015421,"Calexico, CA",4398916,"Laredo, TX",3558660,"Otay Mesa, CA",3289778,"Pedestrians ─ top 5 gateways  2014  San Ysidro, CA  7,925,371  El Paso, TX  6,572,313  Calexico, CA  4,567,333  Laredo, TX  3,447,437  Otay Mesa, CA  3,415,957",Pedestrians ─ top 5 gateways,2014,"San Ysidro, CA",7925371,"El Paso, TX",6572313,"Calexico, CA",4567333,"Laredo, TX",3447437,"Otay Mesa, CA",3415957,"Pedestrians ─ top 5 gateways  2015  San Ysidro, CA  7,056,022  El Paso, TX  6,847,689  Calexico, CA  4,498,322  Laredo, TX  3,542,190  Otay Mesa, CA  3,411,485",Pedestrians ─ top 5 gateways,2015,"San Ysidro, CA",7056022,"El Paso, TX",6847689,"Calexico, CA",4498322,"Laredo, TX",3542190,"Otay Mesa, CA",3411485,,,,,,,,,,,,,,
444,Pedestrians ─ top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,"El Paso, TX",7637649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"San Ysidro, CA",6188126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Laredo, TX",4090191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Nogales, AZ",4038356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Calexico, CA",3904913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Pedestrians ─ top 5 gateways,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,"El Paso, TX",6930357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,"San Ysidro, CA",6439952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,"Calexico, CA",4586846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"Nogales, AZ",3971040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,"Laredo, TX",3587763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Pedestrians ─ top 5 gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,"San Ysidro, CA",8454391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,"El Paso, TX",6172346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,"Calexico, CA",4451119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,"Nogales, AZ",3525540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,"Laredo, TX",3089561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Pedestrians ─ top 5 gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,"San Ysidro, CA",8134479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,"El Paso, TX",6090841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,"Calexico, CA",4885868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,"Nogales, AZ",3238929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,"Laredo, TX",3206372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Pedestrians ─ top 5 gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,"San Ysidro, CA",7741210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,"El Paso, TX",6015421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,"Calexico, CA",4398916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,"Laredo, TX",3558660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,"Otay Mesa, CA",3289778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Pedestrians ─ top 5 gateways,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,"San Ysidro, CA",7925371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,"El Paso, TX",6572313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,"Calexico, CA",4567333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Laredo, TX",3447437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,"Otay Mesa, CA",3415957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Pedestrians ─ top 5 gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,"San Ysidro, CA",7056022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,"El Paso, TX",6847689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,"Calexico, CA",4498322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,"Laredo, TX",3542190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,"Otay Mesa, CA",3411485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,"Bus passengers ─ top 5 gateways  2009  Laredo, TX  845,629  San Ysidro, CA  453,130  El Paso, TX  311,749  Hidalgo, TX  300,778  Nogales, AZ  166,567",Bus passengers ─ top 5 gateways,2009.0,"Laredo, TX",845629.0,"San Ysidro, CA",453130.0,"El Paso, TX",311749.0,"Hidalgo, TX",300778.0,"Nogales, AZ",166567,"Bus passengers ─ top 5 gateways  2010  Laredo, TX  902,023  San Ysidro, CA  550,301  El Paso, TX  400,311  Hidalgo, TX  310,943  Nogales, AZ  167,047",Bus passengers ─ top 5 gateways,2010,"Laredo, TX",902023.0,"San Ysidro, CA",550301.0,"El Paso, TX",400311.0,"Hidalgo, TX",310943,"Nogales, AZ",167047,"Bus passengers ─ top 5 gateways  2011  Laredo, TX  934,241  El Paso, TX  477,659  San Ysidro, CA  467,381  Hidalgo, TX  303,758  Otay Mesa, CA  167,219",Bus passengers ─ top 5 gateways,2011,"Laredo, TX",934241,"El Paso, TX",477659.0,"San Ysidro, CA",467381.0,"Hidalgo, TX",303758,"Otay Mesa, CA",167219,"Bus passengers ─ top 5 gateways  2012  Laredo, TX  989,205  San Ysidro, CA  583,589  El Paso, TX  435,560  Hidalgo, TX  302,789  Otay Mesa, CA  163,672",Bus passengers ─ top 5 gateways,2012,"Laredo, TX",989205,"San Ysidro, CA",583589,"El Paso, TX",435560.0,"Hidalgo, TX",302789,"Otay Mesa, CA",163672,"Bus passengers ─ top 5 gateways  2013  Laredo, TX  1,023,411  San Ysidro, CA  507,750  El Paso, TX  370,797  Hidalgo, TX  334,477  Otay Mesa, CA  182,509",Bus passengers ─ top 5 gateways,2013,"Laredo, TX",1023411,"San Ysidro, CA",507750,"El Paso, TX",370797,"Hidalgo, TX",334477,"Otay Mesa, CA",182509,"Bus passengers ─ top 5 gateways  2014  Laredo, TX  1,020,567  San Ysidro, CA  491,058  Hidalgo, TX  349,417  El Paso, TX  313,684  Otay Mesa, CA  186,898",Bus passengers ─ top 5 gateways,2014,"Laredo, TX",1020567,"San Ysidro, CA",491058,"Hidalgo, TX",349417,"El Paso, TX",313684,"Otay Mesa, CA",186898,"Bus passengers ─ top 5 gateways  2015  Laredo, TX  977,305  San Ysidro, CA  440,033  Hidalgo, TX  301,160  El Paso, TX  266,168  Nogales, AZ  173,425",Bus passengers ─ top 5 gateways,2015,"Laredo, TX",977305,"San Ysidro, CA",440033,"Hidalgo, TX",301160,"El Paso, TX",266168,"Nogales, AZ",173425,,,,,,,,,,,,,,
487,Bus passengers ─ top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,"Laredo, TX",845629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,"San Ysidro, CA",453130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,"El Paso, TX",311749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
