,"All U.S.-Canadian land gateways  2002  All personal vehicle passengers  68,986,616  All personal vehicles  32,538,817  All bus passengers  4,212,863  All pedestrians  1,081,682  All train passengers  255,134  All buses  160,961",All U.S.-Canadian land gateways,2002,All personal vehicle passengers,"68,986,616",All personal vehicles,"32,538,817",All bus passengers,"4,212,863",All pedestrians,"1,081,682",All train passengers,"255,134",All buses,"160,961","All U.S.-Canadian land gateways  2003  All personal vehicle passengers  62,136,536  All personal vehicles  30,245,165  All bus passengers  3,779,970  All pedestrians  937,493  All train passengers  234,796  All buses  156,589",All U.S.-Canadian land gateways.1,2003,All personal vehicle passengers.1,"62,136,536",All personal vehicles.1,"30,245,165",All bus passengers.1,"3,779,970",All pedestrians.1,"937,493",All train passengers.1,"234,796",All buses.1,"156,589","All U.S.-Canadian land gateways  2004  All personal vehicle passengers  63,269,668  All personal vehicles  30,660,487  All bus passengers  3,890,380  All pedestrians  826,017  All train passengers  223,477  All buses  155,702",All U.S.-Canadian land gateways.2,2004,All personal vehicle passengers.2,"63,269,668",All personal vehicles.2,"30,660,487",All bus passengers.2,"3,890,380",All pedestrians.2,"826,017",All train passengers.2,"223,477",All buses.2,"155,702","All U.S.-Canadian land gateways  2005  All personal vehicle passengers  62,501,376  All personal vehicles  30,351,683  All bus passengers  3,854,858  All pedestrians  605,339  All train passengers  235,758  All buses  153,454",All U.S.-Canadian land gateways.3,2005,All personal vehicle passengers.3,"62,501,376",All personal vehicles.3,"30,351,683",All bus passengers.3,"3,854,858",All pedestrians.3,"605,339",All train passengers.3,"235,758",All buses.3,"153,454","All U.S.-Canadian land gateways  2006  All personal vehicle passengers  62,986,037  All personal vehicles  30,038,524  All bus passengers  3,499,103  All pedestrians  533,739  All train passengers  244,683  All buses  129,452",All U.S.-Canadian land gateways.4,2006,All personal vehicle passengers.4,"62,986,037",All personal vehicles.4,"30,038,524",All bus passengers.4,"3,499,103",All pedestrians.4,"533,739",All train passengers.4,"244,683",All buses.4,"129,452","All U.S.-Canadian land gateways  2007  All personal vehicle passengers  58,409,016  All personal vehicles  29,775,714  All bus passengers  3,684,631  All pedestrians  441,066  All train passengers  233,070  All buses  136,430",All U.S.-Canadian land gateways.5,2007,All personal vehicle passengers.5,"58,409,016",All personal vehicles.5,"29,775,714",All bus passengers.5,"3,684,631",All pedestrians.5,"441,066",All train passengers.5,"233,070",All buses.5,"136,430","All U.S.-Canadian land gateways  2008  All personal vehicle passengers  57,423,879  All personal vehicles  28,686,786  All bus passengers  3,404,305  All pedestrians  499,666  All train passengers  238,593  All buses  127,233",All U.S.-Canadian land gateways.6,2008,All personal vehicle passengers.6,"57,423,879",All personal vehicles.6,"28,686,786",All bus passengers.6,"3,404,305",All pedestrians.6,"499,666",All train passengers.6,"238,593",All buses.6,"127,233"
390,"Blaine, WA",9711226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"Detroit, MI",7049603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,"Port Huron, MI",3864165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,"Champlain-Rouses Point, NY",2561398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Personal vehicle passengers – top 5 gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"Buffalo-Niagara Falls, NY",10488584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"Blaine, WA",8153216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Detroit, MI",6916029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,"Port Huron, MI",3209591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,"Champlain-Rouses Point, NY",2316270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,"Personal vehicles – top 5 gateways  2009  Buffalo-Niagara Falls, NY  5,291,623  Detroit, MI  4,082,030  Blaine, WA  2,842,631  Port Huron, MI  1,570,273  Champlain-Rouses Point, NY  1,040,154",Personal vehicles – top 5 gateways,2009.0,"Buffalo-Niagara Falls, NY",5291623.0,"Detroit, MI",4082030.0,"Blaine, WA",2842631.0,"Port Huron, MI",1570273.0,"Champlain-Rouses Point, NY",1040154.0,"Personal vehicles – top 5 gateways  2010  Buffalo-Niagara Falls, NY  5,477,863  Detroit, MI  4,051,434  Blaine, WA  3,365,754  Port Huron, MI  1,651,107  Calais, ME  1,054,681",Personal vehicles – top 5 gateways,2010,"Buffalo-Niagara Falls, NY",5477863.0,"Detroit, MI",4051434.0,"Blaine, WA",3365754.0,"Port Huron, MI",1651107.0,"Calais, ME",1054681.0,"Personal vehicles – top 5 gateways  2011  Buffalo-Niagara Falls, NY  5,912,282  Blaine, WA  4,288,924  Detroit, MI  4,174,337  Port Huron, MI  1,842,632  Point Roberts, WA  1,093,910",Personal vehicles – top 5 gateways,2011,"Buffalo-Niagara Falls, NY",5912282,"Blaine, WA",4288924.0,"Detroit, MI",4174337.0,"Port Huron, MI",1842632.0,"Point Roberts, WA",1093910.0,"Personal vehicles – top 5 gateways  2012  Buffalo-Niagara Falls, NY  6,072,382  Blaine, WA  4,730,705  Detroit, MI  4,165,732  Port Huron, MI  1,981,177  Point Roberts, WA  1,169,632",Personal vehicles – top 5 gateways,2012,"Buffalo-Niagara Falls, NY",6072382,"Blaine, WA",4730705,"Detroit, MI",4165732.0,"Port Huron, MI",1981177.0,"Point Roberts, WA",1169632.0,"Personal vehicles – top 5 gateways  2013  Buffalo-Niagara Falls, NY  5,847,483  Blaine, WA  4,977,947  Detroit, MI  4,129,032  Port Huron, MI  2,037,430  Lynden, WA  (R) 1,365,458",Personal vehicles – top 5 gateways,2013,"Buffalo-Niagara Falls, NY",5847483,"Blaine, WA",4977947,"Detroit, MI",4129032,"Port Huron, MI",2037430.0,"Lynden, WA","(R) 1,365,458","Personal vehicles – top 5 gateways  2014  Buffalo-Niagara Falls, NY  5,446,904  Blaine, WA  4,873,847  Detroit, MI  4,027,427  Port Huron, MI  1,975,750  Point Roberts, WA  1,190,183",Personal vehicles – top 5 gateways,2014,"Buffalo-Niagara Falls, NY",5446904,"Blaine, WA",4873847,"Detroit, MI",4027427,"Port Huron, MI",1975750,"Point Roberts, WA",1190183.0,"Personal vehicles – top 5 gateways  2015  Buffalo-Niagara Falls, NY  4,902,293  Blaine, WA  4,234,824  Detroit, MI  4,046,472  Port Huron, MI  1,618,685  Champlain-Rouses Point, NY  1,030,395",Personal vehicles – top 5 gateways,2015,"Buffalo-Niagara Falls, NY",4902293,"Blaine, WA",4234824,"Detroit, MI",4046472,"Port Huron, MI",1618685,"Champlain-Rouses Point, NY",1030395,,,,,,,,,,,,,,
401,Personal vehicles – top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,"Buffalo-Niagara Falls, NY",5291623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"Detroit, MI",4082030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Blaine, WA",2842631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"Port Huron, MI",1570273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,"Champlain-Rouses Point, NY",1040154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Personal vehicles – top 5 gateways,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,"Buffalo-Niagara Falls, NY",5477863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"Detroit, MI",4051434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,"Blaine, WA",3365754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"Port Huron, MI",1651107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,"Calais, ME",1054681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Personal vehicles – top 5 gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,"Buffalo-Niagara Falls, NY",5912282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"Blaine, WA",4288924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,"Detroit, MI",4174337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,"Port Huron, MI",1842632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"Point Roberts, WA",1093910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Personal vehicles – top 5 gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,"Buffalo-Niagara Falls, NY",6072382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,"Blaine, WA",4730705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,"Detroit, MI",4165732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,"Port Huron, MI",1981177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,"Point Roberts, WA",1169632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Personal vehicles – top 5 gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"Buffalo-Niagara Falls, NY",5847483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,"Blaine, WA",4977947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,"Detroit, MI",4129032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,"Port Huron, MI",2037430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,"Lynden, WA","(R) 1,365,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Personal vehicles – top 5 gateways,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"Buffalo-Niagara Falls, NY",5446904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,"Blaine, WA",4873847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,"Detroit, MI",4027427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,"Port Huron, MI",1975750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,"Point Roberts, WA",1190183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Personal vehicles – top 5 gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,"Buffalo-Niagara Falls, NY",4902293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,"Blaine, WA",4234824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,"Detroit, MI",4046472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Port Huron, MI",1618685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,"Champlain-Rouses Point, NY",1030395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,"Bus passengers – top 5 gateways  2009  Buffalo-Niagara Falls, NY  883,448  Blaine, WA  323,333  Detroit, MI  297,787  Champlain-Rouses Point, NY  282,949  Skagway, AK  161,255",Bus passengers – top 5 gateways,2009.0,"Buffalo-Niagara Falls, NY",883448.0,"Blaine, WA",323333.0,"Detroit, MI",297787.0,"Champlain-Rouses Point, NY",282949.0,"Skagway, AK",161255.0,"Bus passengers – top 5 gateways  2010  Buffalo-Niagara Falls, NY  744,789  Champlain-Rouses Point, NY  368,763  Blaine, WA  332,445  Detroit, MI  268,622  Skagway, AK  144,994",Bus passengers – top 5 gateways,2010,"Buffalo-Niagara Falls, NY",744789.0,"Champlain-Rouses Point, NY",368763.0,"Blaine, WA",332445.0,"Detroit, MI",268622.0,"Skagway, AK",144994.0,"Bus passengers – top 5 gateways  2011  Buffalo-Niagara Falls, NY  729,403  Champlain-Rouses Point, NY  395,680  Blaine, WA  328,179  Detroit, MI  254,712  Skagway, AK  143,706",Bus passengers – top 5 gateways,2011,"Buffalo-Niagara Falls, NY",729403,"Champlain-Rouses Point, NY",395680.0,"Blaine, WA",328179.0,"Detroit, MI",254712.0,"Skagway, AK",143706.0,"Bus passengers – top 5 gateways  2012  Buffalo-Niagara Falls, NY  687,530  Champlain-Rouses Point, NY  410,941  Blaine, WA  324,371  Detroit, MI  265,757  Skagway, AK  155,359",Bus passengers – top 5 gateways,2012,"Buffalo-Niagara Falls, NY",687530,"Champlain-Rouses Point, NY",410941,"Blaine, WA",324371.0,"Detroit, MI",265757.0,"Skagway, AK",155359.0,"Bus passengers – top 5 gateways  2013  Buffalo-Niagara Falls, NY  626,145  Champlain-Rouses Point, NY  387,263  Detroit, MI  330,329  Blaine, WA  314,526  Skagway, AK  151,927",Bus passengers – top 5 gateways,2013,"Buffalo-Niagara Falls, NY",626145,"Champlain-Rouses Point, NY",387263,"Detroit, MI",330329,"Blaine, WA",314526.0,"Skagway, AK",151927,"Bus passengers – top 5 gateways  2014  Buffalo-Niagara Falls, NY  590,406  Champlain-Rouses Point, NY  332,621  Detroit, MI  305,850  Blaine, WA  260,497  Skagway, AK  184,949",Bus passengers – top 5 gateways,2014,"Buffalo-Niagara Falls, NY",590406,"Champlain-Rouses Point, NY",332621,"Detroit, MI",305850,"Blaine, WA",260497,"Skagway, AK",184949.0,"Bus passengers – top 5 gateways  2015  Buffalo-Niagara Falls, NY  521,945  Champlain-Rouses Point, NY  309,236  Blaine, WA  308,218  Detroit, MI  229,636  Skagway, AK  161,821",Bus passengers – top 5 gateways,2015,"Buffalo-Niagara Falls, NY",521945,"Champlain-Rouses Point, NY",309236,"Blaine, WA",308218,"Detroit, MI",229636,"Skagway, AK",161821,,,,,,,,,,,,,,
444,Bus passengers – top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,"Buffalo-Niagara Falls, NY",883448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"Blaine, WA",323333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Detroit, MI",297787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Champlain-Rouses Point, NY",282949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Skagway, AK",161255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Bus passengers – top 5 gateways,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,"Buffalo-Niagara Falls, NY",744789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,"Champlain-Rouses Point, NY",368763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,"Blaine, WA",332445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"Detroit, MI",268622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,"Skagway, AK",144994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Bus passengers – top 5 gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,"Buffalo-Niagara Falls, NY",729403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,"Champlain-Rouses Point, NY",395680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,"Blaine, WA",328179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,"Detroit, MI",254712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,"Skagway, AK",143706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Bus passengers – top 5 gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,"Buffalo-Niagara Falls, NY",687530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,"Champlain-Rouses Point, NY",410941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,"Blaine, WA",324371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,"Detroit, MI",265757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,"Skagway, AK",155359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Bus passengers – top 5 gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,"Buffalo-Niagara Falls, NY",626145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,"Champlain-Rouses Point, NY",387263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,"Detroit, MI",330329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
