FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Charlottesville,VA,"88,300","284,737","26,532","9,914",0,0,"321,184","153,301","65,000","32,370","16,561","5,109","272,340","218,057","187,939","187,137","69,297","24,335","686,766","19,609","56,592","108,349","74,106","50,266","308,923"
Chattanooga,GA,0,"636,662","53,938","33,283","19,853","11,841","755,577",0,0,0,0,0,0,"283,811","9,038","24,251","13,860","13,475","344,436","71,287","52,792","42,175","3,636","9,707","179,597"
Chattanooga,TN,"1,434,603","1,057,325","115,138","37,040",0,"8,474","1,217,979","478,997","44,428","70,125","15,542","5,335","614,427","288,449","120,547","75,420","30,683","26,833","541,932","300,587","34,800","115,127","54,486","208,102","713,102"
Cheyenne,WY,"58,014","296,075","138,043","64,482","35,399","9,690","543,690",0,0,0,0,0,0,"128,495","74,026","72,753","33,585","48,126","356,986","261,913","32,668","54,509","29,022","45,891","424,002"
Chicago,IL,0,"27,372,727","9,534,374","7,703,786","289,264","265,378","45,165,530","1,280,171","102,068","403,704","64,697",0,"1,850,640","6,817,729","6,808,152","13,165,015","5,642,965","4,325,750","36,759,611","3,656,792","2,723,758","10,364,620","8,521,782","4,371,428","29,638,379"
Chicago,IN,"3,939,085","1,991,349","1,037,817","589,846","204,539","30,517","3,854,068","73,937","16,853","24,534","9,910","8,502","133,735","1,514,219","479,860","713,210","384,040","313,919","3,405,248","13,201","8,522",0,0,0,"21,723"
Chico,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,"248,051","59,879","84,962","46,410","11,938","451,240","34,565","33,734","54,583","42,299","142,450","307,631"
Cincinnati,IN,"28,497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,KY,"40,296","3,810,664","285,242","274,187","26,082","18,599","4,414,775","26,343",0,0,0,0,"26,343","309,277","165,813","165,028","84,098","104,973","829,190","667,756","253,771","422,801","275,980","158,187","1,778,496"
Cincinnati,OH,0,"1,008,124","170,135","203,397","45,390","19,811","1,446,856","349,318","93,782","75,441","15,792","5,887","540,220","155,969","123,699","154,450","73,102","76,872","584,092","1,506,671","900,417","2,967,746","1,184,344","1,306,488","7,865,665"
Clarksville,KY,"15,766",0,0,0,0,0,0,0,0,0,0,0,0,"65,221","4,873",0,0,0,"70,094",0,0,0,0,0,0
Clarksville,TN,"197,405","403,066",0,0,0,0,"403,066",0,0,0,0,0,0,"434,570","70,545","18,960","21,902","1,991","547,968","514,000","106,599","101,284","23,063","5,531","750,477"
Cleveland,OH,0,"1,568,188","205,322","124,563","18,680","3,034","1,919,786","454,103","100,884","81,634","27,753","8,433","672,807","48,048","52,522","116,723","73,208","127,060","417,561","717,402","639,360","1,631,436","1,322,234","2,678,148","6,988,579"
Cleveland,TN,"252,158","400,701",0,0,0,0,"400,701","100,537","3,463",0,0,0,"104,000","194,295","30,777","14,649",0,"2,098","241,819","119,093","127,113","53,458",0,0,"299,664"
Coeur    d'Alene,ID,"56,290","645,155","42,161","38,238","11,479",0,"737,033",0,0,0,0,0,0,"289,835","14,554","31,057","17,063","8,970","361,478","571,468","153,667","61,395","65,100","62,236","913,865"
College    Station--Bryan,TX,"177,285",0,0,0,0,0,0,"497,033","45,391","17,761","6,018","8,827","575,031","114,686","87,753","103,086","52,729","13,243","371,497","171,583","106,444","354,107","110,795","145,495","888,424"
Colorado    Springs,CO,0,"1,401,963","341,062","278,794","85,301","25,403","2,132,523","373,273","121,263","92,372","49,662","4,673","641,243","83,943","88,590","292,320","160,475","72,912","698,240","258,619","226,035","488,705","472,665","432,120","1,878,144"
Columbia,MO,"26,696","377,351","26,466","38,850","12,267",0,"454,934","266,859","10,088","14,147",623,0,"291,717","115,673","40,413","25,743","9,299","2,587","193,716","95,191","83,757","201,681","90,659","98,213","569,501"
Columbia,SC,0,"1,202,562","700,238","609,907","166,160",0,"2,678,867","226,000","3,420","31,049",0,0,"260,469","83,522","277,228","177,808","28,955","11,110","578,623","415,184","1,021,607","1,164,285","408,547","63,437","3,073,060"
