Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
350.0,Indiana State U.,434.0,,0.0,,11.0,,242.0,,0.0,,0.0,,0.0,,114.0,,0.0,,0.0,,67.0,,0
351.0,"U. Alaska, Southeast",430.0,,0.0,,273.0,,3.0,,0.0,,0.0,,0.0,,27.0,,113.0,,14.0,,0.0,,0
352.0,Villanova U.,428.0,,0.0,,2.0,,6.0,,0.0,,0.0,,0.0,,52.0,,0.0,,368.0,,0.0,,0
353.0,Naval Postgraduate School,426.0,,185.0,,144.0,,0.0,,0.0,,0.0,,0.0,,0.0,,49.0,,0.0,,48.0,,0
354.0,Georgia Southern U.,425.0,,0.0,,74.0,,112.0,,0.0,,48.0,,0.0,,11.0,,0.0,,144.0,,36.0,,0
355.0,Missouri State U.,418.0,,0.0,,15.0,,360.0,,0.0,,18.0,,0.0,,1.0,,0.0,,0.0,,24.0,,0
356.0,Catholic U. of America,412.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,347.0,,65.0,,0
357.0,East Central U.,409.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,409.0,,0
358.0,"California State U., Fresno",403.0,,0.0,,0.0,,401.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,0
359.0,Alaska Pacific U.,385.0,,0.0,,361.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
360.0,"Minnesota State U., Mankato",379.0,,0.0,,115.0,,0.0,,0.0,,6.0,,16.0,,0.0,,0.0,,55.0,,187.0,,0
361.0,Creighton U.,377.0,i,62.0,i,0.0,i,136.0,i,17.0,i,41.0,i,0.0,i,52.0,i,0.0,i,0.0,i,69.0,i,0
361.0,Pacific U.,377.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,377.0,,0
