Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
160.0,"U. Louisiana, Lafayette",77300.0,,15799.0,,3221.0,,38354.0,,14462.0,,4607.0,,857.0,,,0
161.0,Brandeis U.,74700.0,,47841.0,,81.0,,13007.0,,5393.0,,7561.0,,817.0,,,0
162.0,"U. Massachusetts, Lowell",70384.0,,31059.0,,3215.0,,28958.0,,4634.0,,1568.0,,950.0,,,0
163.0,Syracuse U.,69896.0,,32378.0,,5541.0,,23879.0,,3610.0,,4488.0,,0.0,,,0
164.0,Michigan Technological U.,69607.0,,28692.0,,680.0,,30791.0,,6876.0,,940.0,,1628.0,,,0
165.0,"U. Maryland, Baltimore County",68688.0,,47954.0,,2587.0,,15194.0,,1638.0,,1138.0,,177.0,,,0
166.0,Georgia Regents U.,67737.0,,50585.0,,380.0,,9412.0,,2778.0,,4161.0,,421.0,,,0
167.0,"U. Tennessee, Knoxville, Institute of Agriculture",67059.0,,15320.0,,2457.0,,42176.0,,4047.0,,1656.0,,1403.0,,,0
168.0,"U. Tennessee, Health Science Center",65771.0,,39356.0,,3187.0,,11229.0,,2544.0,,4810.0,,4645.0,,,0
169.0,Old Dominion U.,65092.0,,40002.0,,3456.0,,17960.0,,1247.0,,808.0,,1619.0,,,0
170.0,U. North Dakota,64384.0,,37697.0,,8154.0,,5436.0,,12180.0,,549.0,,368.0,,,0
171.0,U. Wisconsin-Milwaukee,63414.0,,25587.0,,23783.0,,9529.0,,1963.0,,1572.0,,980.0,,,0
172.0,"U. Massachusetts, Boston",62374.0,,28653.0,,4394.0,,24456.0,,1499.0,,2991.0,,381.0,,,0
173.0,C. of William and Mary and Virginia Institute of Marine Science,61554.0,,33129.0,,4513.0,,18563.0,,1262.0,,3670.0,,417.0,,,0
174.0,Ohio U.,61078.0,,17303.0,,1238.0,,33270.0,,6118.0,,3059.0,,90.0,,,0
175.0,"U. Montana, Missoula",60485.0,,33718.0,,1796.0,,21315.0,,1012.0,,714.0,,1930.0,,,0
