Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
216.0,Chapman U.,324,,905,,758,,538,,234,,891,,755,,538,
217.0,Missouri U. of Science and Technology,622,,800,,668,,533,,550,,769,,667,,498,
218.0,"Southern U. and A&M C., Baton Rouge",1079,,893,,570,,527,,1026,,893,,570,,527,
219.0,"U. Puerto Rico, Humacao",997,,985,,812,,526,,997,,985,,812,,447,
220.0,"California Polytechnic State U., San Luis Obispo",674,,592,,703,,525,,564,,434,,504,,394,
220.0,Mount Holyoke C.,25,,123,,731,,525,,0,,62,,536,,299,
222.0,U. Denver,863,,968,,879,,522,,755,,900,,800,,479,
223.0,Clark Atlanta U.,1138,,1032,,939,,520,,1112,,980,,928,,515,
224.0,Siena C.,1224,,1167,,857,,519,,1221,,1120,,823,,467,
225.0,Haverford C.,477,i,474,i,357,i,512,i,432,,441,,306,,477,
226.0,U. Memphis,966,,678,,474,,508,,701,,542,,319,,172,
227.0,Howard U.,2300,,1892,,1078,,506,,1811,,1417,,841,,382,
228.0,"U. Massachusetts, Dartmouth",824,,859,,966,,487,,486,,563,,348,,116,
229.0,U. Idaho,948,,746,,793,,484,,761,,612,,580,,367,
230.0,"CUNY, Brooklyn C.",484,,281,,347,,479,,298,,169,,327,,334,
231.0,Amherst C.,715,i,761,,531,,477,,532,i,542,,414,,391,
232.0,Ithaca C.,375,,402,,482,,463,,352,,329,,414,,367,
233.0,U. Tulsa,395,,334,,652,,462,,365,,307,,558,,352,
234.0,Smith C.,79,,65,,240,,460,,70,,59,,94,,371,
235.0,Bryn Mawr C.,655,,902,,617,,457,,233,,511,,214,,126,
236.0,"SUNY, C. Plattsburgh",208,,ne,,269,,448,,109,,ne,,210,,360,
237.0,Texas Christian U.,136,,109,,11,,447,,129,,108,,1,,309,
238.0,North Carolina Agricultural and Technical State U.,2113,,844,,583,,443,,1991,,786,,539,,415,
239.0,"U. North Carolina, Greensboro",185,,242,,666,,418,,98,,26,,128,,120,
240.0,Tennessee Technological U.,203,,219,,262,,416,,164,,190,,215,,254,
240.0,"U. Minnesota, Duluth",309,,331,,263,,416,,258,,254,,172,,210,
242.0,Youngstown State U.,237,,200,,207,,413,,125,,151,,156,,410,
243.0,U. Southern Maine,0,,0,,0,i,406,i,0,,0,,0,i,203,i
244.0,Christopher Newport U.,722,,632,,717,,404,,722,,632,,673,,400,
245.0,Augsburg C.,634,,442,,ne,,393,,587,,442,,ne,,393,
246.0,U. Vermont,997,,842,,765,,386,,734,,603,,666,,317,
247.0,West Texas A&M U.,0,,1,,15,,377,,0,,1,,10,,377,
248.0,Hope C.,680,,514,,349,,367,,674,,494,,349,,353,
249.0,U. Southern Mississippi,530,,262,,387,,366,,480,,226,,355,,352,
250.0,"Indiana U., South Bend",387,,526,,461,,365,,366,,496,,445,,337,
251.0,Stevens Institute of Technology,592,,380,,532,,363,,492,,312,,434,,257,
252.0,Clark U.,310,,169,,242,,345,,290,,152,,122,,118,
253.0,"California State U., Fresno",474,,512,,336,,341,,407,,456,,288,,319,
254.0,U. Richmond,435,,423,,328,,340,,392,,386,,291,,320,
254.0,U. Texas Pan American,165,,21,,14,,340,,7,,6,,0,,329,
256.0,Cleveland State U.,485,,326,,283,,332,i,388,,230,,164,,37,
