Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
216.0,"CUNY, Hunter C.",36368,,19193,,1450,,12457.0,,212.0,,2522.0,,534.0,
217.0,Worcester Polytechnic Institute,36130,,26327,,16,,6626.0,,2369.0,,406.0,,386.0,
218.0,Missouri U. of Science and Technology,35842,,17632,,161,,10748.0,,5171.0,,1164.0,,966.0,
219.0,Northern Arizona U.,35206,,20285,,4787,,8438.0,,623.0,,981.0,,92.0,
220.0,North Carolina Agricultural and Technical State U.,35172,,22413,,94,,12068.0,,55.0,,542.0,,0.0,
221.0,Illinois Institute of Technology,34336,,25826,,126,,2152.0,,1572.0,,1223.0,,3437.0,
222.0,Stevens Institute of Technology,34082,,25980,,770,,4862.0,,1913.0,,531.0,,26.0,
223.0,Morehouse School of Medicine,33367,,30012,,114,,2016.0,,302.0,,923.0,,0.0,
224.0,Mercer U.,32838,,21563,,42,,2767.0,,8055.0,,134.0,,277.0,
225.0,"SUNY, Upstate Medical U.",32453,,19213,,2200,,6680.0,,1755.0,,2197.0,,408.0,
226.0,Boise State U.,31341,,18296,,2112,,9827.0,,247.0,,755.0,,104.0,
227.0,U. West Florida,31232,,10935,,3480,,14195.0,,1823.0,,799.0,,0.0,
228.0,"U. California, Merced",29688,,12648,,779,,13217.0,,574.0,,1134.0,,1336.0,
229.0,Southern Methodist U.,29282,,14324,,1178,,9777.0,,3092.0,,763.0,,148.0,
230.0,Alabama A&M U.,29202,,21982,,607,,4347.0,,158.0,,0.0,,2108.0,
231.0,"SUNY, Downstate Medical Center",28652,,20779,,608,,4679.0,,803.0,,1308.0,,475.0,
232.0,"U. Puerto Rico, Rio Piedras",28579,,18922,,50,,9266.0,,66.0,,211.0,,64.0,
233.0,"U. Puerto Rico, Mayaguez",28100,,15700,,492,,9268.0,,1572.0,,932.0,,136.0,
234.0,"U. Minnesota, Duluth",27550,,10025,,4406,,11948.0,,551.0,,399.0,,221.0,
235.0,Air Force Institute of Technology,26866,,16727,,30,,9905.0,,198.0,,6.0,,0.0,
236.0,"U. Massachusetts, Dartmouth",26776,,7321,,1327,,17478.0,,365.0,,201.0,,84.0,
237.0,"U. Missouri, Kansas City",26595,,13327,,153,,10533.0,,735.0,,1238.0,,609.0,
238.0,East Carolina U.,26549,,15079,,1512,,6790.0,,1733.0,,1372.0,,63.0,
239.0,San Francisco State U.,26345,,14336,,1761,,9452.0,,7.0,,789.0,,0.0,
240.0,New Mexico Institute of Mining and Technology,26265,,20018,,4361,,926.0,,954.0,,6.0,,0.0,
241.0,U. South Dakota,25661,,9214,,1191,,13570.0,,2.0,,1684.0,,0.0,
242.0,Tuskegee U.,25652,i,14166,i,2898,i,5358.0,i,429.0,i,194.0,i,2607.0,i
243.0,Loma Linda U.,25519,,21082,,781,,2220.0,,768.0,,535.0,,133.0,
244.0,U. Tulsa,25066,,6384,,423,,3531.0,,14145.0,,295.0,,288.0,
245.0,"U. North Carolina, Charlotte",24870,,19132,,955,,618.0,,2058.0,,2064.0,,43.0,
246.0,Marquette U.,24816,,9320,,112,,9122.0,,942.0,,3140.0,,2180.0,
247.0,Baylor U.,24642,,3878,,1638,,14321.0,,1719.0,,1866.0,,1220.0,
248.0,Texas A&M U.-Corpus Christi,24507,,9491,,4440,,5022.0,,623.0,,2088.0,,2843.0,
249.0,"Rutgers, State U. New Jersey, Newark",24387,,12611,,4021,,5239.0,,312.0,,1859.0,,345.0,
250.0,Catholic U. of America,24265,,19900,,99,,3535.0,,503.0,,228.0,,0.0,
251.0,"Louisiana State U., Health Sciences Center - Shreveport",24069,,6321,,360,,10637.0,,1677.0,,5074.0,,0.0,
252.0,Jackson State U.,23908,,19656,,1313,,2011.0,,0.0,,898.0,,30.0,
253.0,Louisiana Tech U.,23827,,5776,,3501,,12492.0,,708.0,,0.0,,1350.0,
254.0,Creighton U.,23825,,9359,,3135,,6681.0,,3435.0,,504.0,,711.0,
255.0,"Columbia U., Teachers C.",23269,,12775,,109,,,,299.0,,9197.0,,889.0,
256.0,"U. North Carolina, Greensboro",23026,,14978,,1313,,5345.0,,561.0,,600.0,,229.0,
257.0,Desert Research Institute,22103,,16511,,2050,,2240.0,,674.0,,457.0,,171.0,
258.0,"SUNY, C. of Environmental Science and Forestry",22051,,7784,,6233,,5792.0,,881.0,,1133.0,,228.0,
259.0,Florida Atlantic U.,21214,,11574,,1520,,3030.0,,607.0,,2544.0,,1939.0,
260.0,Fordham U.,20939,,3969,,306,,15534.0,,0.0,,0.0,,1130.0,
261.0,Texas A&M U.-Kingsville,20894,,7080,,4332,,3500.0,,821.0,,5161.0,,0.0,
262.0,U. of the Virgin Islands,20630,,19456,,254,,0.0,,0.0,,0.0,,920.0,
263.0,Tennessee State U.,19955,,11145,,783,,7533.0,,470.0,,24.0,,0.0,
